360,388,4
376,100,8
188,596,6
164,60,12
376,104,2
392,232,6
392,236,4
164,64,12
564,576,2
92,52,34
164,68,28
92,56,28
460,392,2
16,20,46
168,280,2
144,240,10
128,112,290
16,24,36
120,200,60
168,284,2
144,244,4
128,116,244
16,28,16
120,204,44
664,580,4
476,112,4
168,288,4
624,412,6
212,396,2
144,248,4
120,208,46
48,200,2
492,244,2
effects\辅助2.fsi,,28
64,332,2
220,200,24
112,848,2
48,208,2
348,440,12
176,100,20
220,204,36
228,120,14
12,168,2
268,292,18
260,380,6
244,252,12
348,444,4
220,208,34
228,124,4
192,232,20
176,104,34
268,296,26
260,384,4
296,428,2
348,448,6
192,236,18
244,256,12
176,108,64
228,128,10
88,80,168
260,388,4
88,84,206
328,120,2
88,88,240
84,192,50
568,764,2
60,152,110
320,212,4
20,12,28
84,196,26
60,156,60
396,432,2
20,16,80
276,112,8
320,216,4
344,260,10
292,240,6
396,436,2
276,116,16
360,392,2
344,264,6
360,396,4
344,268,14
292,248,4
944,756,2
392,240,6
524,412,4
392,244,2
92,60,72
164,72,20
540,544,2
392,248,4
92,64,76
164,76,28
420,228,2
92,68,124
128,120,180
1024,604,2
16,32,12
224,400,2
168,292,6
144,252,6
328,88,4
128,124,170
88,4,2
16,36,6
224,404,2
120,212,26
596,440,2
168,296,2
144,256,16
128,128,216
224,408,8
120,216,40
492,252,2
572,404,2
504,104,4
492,256,2
40,300,2
624,428,2
572,408,4
324,400,6
324,404,6
220,212,42
364,580,2
244,260,10
324,408,4
296,432,6
348,452,8
220,216,26
176,112,26
228,132,12
192,240,44
348,456,2
296,436,6
176,116,26
228,136,14
192,244,44
244,264,12
effects\magic_攻击类.fsi,,36
244,268,8
192,248,10
88,92,202
96,200,18
88,96,162
592,268,2
448,452,2
96,204,6
60,160,54
320,220,4
20,20,112
96,208,4
60,164,10
440,544,2
20,24,82
320,224,14
396,440,2
276,120,4
60,168,38
396,444,4
20,28,44
276,124,2
292,252,2
344,272,2
344,276,2
396,448,2
276,128,2
292,256,24
148,444,76
376,120,2
496,440,4
148,448,4
444,272,2
164,80,22
420,232,2
496,448,2
444,276,2
392,256,2
164,84,18
92,72,112
420,236,2
164,88,44
92,76,112
16,40,6
128,132,184
144,260,8
16,44,2
224,412,2
120,220,36
160,392,2
708,1064,2
144,264,6
128,136,210
120,224,24
144,268,12
120,228,38
492,268,8
48,224,2
220,220,28
348,460,4
296,440,12
228,140,10
176,120,26
220,224,30
244,272,6
296,444,16
228,144,20
192,252,16
176,124,38
220,228,46
168,760,2
348,468,2
296,448,8
228,148,10
192,256,6
244,276,10
176,128,34
328,140,2
96,212,6
372,400,2
700,408,4
332,84,4
96,216,4
60,172,2
320,232,2
372,404,2
424,424,2
20,32,14
332,88,2
60,176,8
424,428,4
304,108,2
20,36,24
